Country,Year,Arrivals,Occupation
Belgium,2016,29953,Professional
Belgium,2016,13814,Administrative and managerial
Belgium,2016,9085,Commercial personal and clerical
Belgium,2016,27981,Labourers production and service workers
Belgium,2016,122,Agricultural workers
Belgium,2016,928,Government
Belgium,2016,1068,House wife
Belgium,2016,18212,Students
Belgium,2016,10724,Retired
Belgium,2016,173,Others
Belgium,2016,80,Not stated
Denmark,2016,163406,Total
Denmark,2016,45687,Professional
Denmark,2016,30942,Administrative and managerial
Denmark,2016,13322,Commercial personal and clerical
Denmark,2016,22669,Labourers production and service workers
Denmark,2016,399,Agricultural workers
Denmark,2016,352,Government
Denmark,2016,907,House wife
Denmark,2016,34960,Students
Denmark,2016,13795,Retired
Denmark,2016,231,Others
Denmark,2016,142,Not stated
Finland,2016,131207,Total
Finland,2016,41837,Professional
Finland,2016,34216,Administrative and managerial
Finland,2016,9656,Commercial personal and clerical
Finland,2016,18505,Labourers production and service workers
Finland,2016,753,Agricultural workers
Finland,2016,187,Government
Finland,2016,366,House wife
Finland,2016,18449,Students
Finland,2016,7083,Retired
Finland,2016,123,Others
Finland,2016,32,Not stated
France,2016,697738,Total
France,2016,204757,Professional
France,2016,110021,Administrative and managerial
France,2016,64426,Commercial personal and clerical
France,2016,108073,Labourers production and service workers
France,2016,1367,Agricultural workers
France,2016,2123,Government
France,2016,4706,House wife
France,2016,130797,Students
France,2016,68804,Retired
France,2016,1902,Others
France,2016,762,Not stated
Germany,2016,825496,Total
Germany,2016,243433,Professional
Germany,2016,155388,Administrative and managerial
Germany,2016,77857,Commercial personal and clerical
Germany,2016,142117,Labourers production and service workers
Germany,2016,1141,Agricultural workers
Germany,2016,3157,Government
Germany,2016,8685,House wife
Germany,2016,144970,Students
Germany,2016,45916,Retired
Germany,2016,2343,Others
Germany,2016,489,Not stated
Ireland,2016,59557,Total
Ireland,2016,22084,Professional
Ireland,2016,9987,Administrative and managerial
Ireland,2016,5207,Commercial personal and clerical
Ireland,2016,9907,Labourers production and service workers
Ireland,2016,324,Agricultural workers
Ireland,2016,413,Government
Ireland,2016,504,House wife
Ireland,2016,8308,Students
Ireland,2016,2710,Retired
Ireland,2016,103,Others
Ireland,2016,10,Not stated
Italy,2016,248903,Total
Italy,2016,64351,Professional
Italy,2016,31236,Administrative and managerial
Italy,2016,26107,Commercial personal and clerical
Italy,2016,72221,Labourers production and service workers
Italy,2016,727,Agricultural workers
Italy,2016,623,Government
Italy,2016,3319,House wife
Italy,2016,33278,Students
Italy,2016,16226,Retired
Italy,2016,603,Others
Italy,2016,212,Not stated
Netherlands,2016,228443,Total
Netherlands,2016,63612,Professional
Netherlands,2016,37274,Administrative and managerial
Netherlands,2016,19733,Commercial personal and clerical
Netherlands,2016,37953,Labourers production and service workers
Netherlands,2016,436,Agricultural workers
Netherlands,2016,1896,Government
Netherlands,2016,2863,House wife
Netherlands,2016,48657,Students
Netherlands,2016,14952,Retired
Netherlands,2016,857,Others
Netherlands,2016,210,Not stated
Norway,2016,134335,Total
Norway,2016,35394,Professional
Norway,2016,18510,Administrative and managerial
Norway,2016,12859,Commercial personal and clerical
Norway,2016,24676,Labourers production and service workers
Norway,2016,574,Agricultural workers
Norway,2016,411,Government
Norway,2016,927,House wife
Norway,2016,27035,Students
Norway,2016,13527,Retired
Norway,2016,312,Others
Norway,2016,110,Not stated
Russian,2016,1085890,Total
Russian,2016,368281,Professional
Russian,2016,440240,Administrative and managerial
Russian,2016,44688,Commercial personal and clerical
Russian,2016,69918,Labourers production and service workers
Russian,2016,236,Agricultural workers
Russian,2016,422,Government
Russian,2016,10199,House wife
Russian,2016,134662,Students
Russian,2016,15869,Retired
Russian,2016,1132,Others
Russian,2016,243,Not stated
Spain,2016,168264,Total
Spain,2016,65172,Professional
Spain,2016,22639,Administrative and managerial
Spain,2016,18141,Commercial personal and clerical
Spain,2016,33468,Labourers production and service workers
Spain,2016,321,Agricultural workers
Spain,2016,1333,Government
Spain,2016,1250,House wife
Spain,2016,19454,Students
Spain,2016,5683,Retired
Spain,2016,617,Others
Spain,2016,186,Not stated
Sweden,2016,329070,Total
Sweden,2016,97758,Professional
Sweden,2016,70988,Administrative and managerial
Sweden,2016,27208,Commercial personal and clerical
Sweden,2016,54291,Labourers production and service workers
Sweden,2016,614,Agricultural workers
Sweden,2016,576,Government
Sweden,2016,1522,House wife
Sweden,2016,53968,Students
Sweden,2016,21446,Retired
Sweden,2016,546,Others
Sweden,2016,153,Not stated
Switzerland,2016,226412,Total
Switzerland,2016,66771,Professional
Switzerland,2016,41319,Administrative and managerial
Switzerland,2016,24278,Commercial personal and clerical
Switzerland,2016,40090,Labourers production and service workers
Switzerland,2016,555,Agricultural workers
Switzerland,2016,402,Government
Switzerland,2016,3653,House wife
Switzerland,2016,31058,Students
Switzerland,2016,17327,Retired
Switzerland,2016,741,Others
Switzerland,2016,218,Not stated
UnitedKingdom,2016,961471,Total
UnitedKingdom,2016,310592,Professional
UnitedKingdom,2016,157053,Administrative and managerial
UnitedKingdom,2016,86371,Commercial personal and clerical
UnitedKingdom,2016,165010,Labourers production and service workers
UnitedKingdom,2016,1875,Agricultural workers
UnitedKingdom,2016,7035,Government
UnitedKingdom,2016,11516,House wife
UnitedKingdom,2016,128709,Students
UnitedKingdom,2016,90905,Retired
UnitedKingdom,2016,2015,Others
UnitedKingdom,2016,390,Not stated
EastEurope,2016,379153,Total
EastEurope,2016,137081,Professional
EastEurope,2016,98606,Administrative and managerial
EastEurope,2016,35929,Commercial personal and clerical
EastEurope,2016,41544,Labourers production and service workers
EastEurope,2016,828,Agricultural workers
EastEurope,2016,860,Government
EastEurope,2016,4058,House wife
EastEurope,2016,48929,Students
EastEurope,2016,10228,Retired
EastEurope,2016,818,Others
EastEurope,2016,272,Not stated
Others in Europe,2016,158924,Total
Others in Europe,2016,61567,Professional
Others in Europe,2016,29451,Administrative and managerial
Others in Europe,2016,17992,Commercial personal and clerical
Others in Europe,2016,22393,Labourers production and service workers
Others in Europe,2016,415,Agricultural workers
Others in Europe,2016,1063,Government
Others in Europe,2016,1983,House wife
Others in Europe,2016,16150,Students
Others in Europe,2016,7320,Retired
Others in Europe,2016,437,Others
Others in Europe,2016,153,Not stated
Argentina,2016,46390,Total
Argentina,2016,18619,Professional
Argentina,2016,4430,Administrative and managerial
Argentina,2016,4050,Commercial personal and clerical
Argentina,2016,11768,Labourers production and service workers
Argentina,2016,144,Agricultural workers
Argentina,2016,168,Government
Argentina,2016,256,House wife
Argentina,2016,5735,Students
Argentina,2016,1080,Retired
Argentina,2016,124,Others
Argentina,2016,16,Not stated
Brazil,2016,63139,Total
Brazil,2016,30989,Professional
Brazil,2016,9071,Administrative and managerial
Brazil,2016,6617,Commercial personal and clerical
Brazil,2016,6226,Labourers production and service workers
Brazil,2016,152,Agricultural workers
Brazil,2016,1202,Government
Brazil,2016,371,House wife
Brazil,2016,6558,Students
Brazil,2016,1797,Retired
Brazil,2016,122,Others
Brazil,2016,34,Not stated
Canada,2016,222358,Total
Canada,2016,70599,Professional
Canada,2016,31923,Administrative and managerial
Canada,2016,22617,Commercial personal and clerical
Canada,2016,33775,Labourers production and service workers
Canada,2016,408,Agricultural workers
Canada,2016,1120,Government
Canada,2016,2514,House wife
Canada,2016,37940,Students
Canada,2016,20997,Retired
Canada,2016,366,Others
Canada,2016,99,Not stated
USA,2016,938862,Total
USA,2016,319641,Professional
USA,2016,124205,Administrative and managerial
USA,2016,95434,Commercial personal and clerical
USA,2016,115180,Labourers production and service workers
USA,2016,1544,Agricultural workers
USA,2016,8032,Government
USA,2016,17095,House wife
USA,2016,170816,Students
USA,2016,84603,Retired
USA,2016,1815,Others
USA,2016,497,Not stated
Others in America,2016,70724,Total
Others in America,2016,30770,Professional
Others in America,2016,10682,Administrative and managerial
Others in America,2016,6621,Commercial personal and clerical
Others in America,2016,8972,Labourers production and service workers
Others in America,2016,161,Agricultural workers
Others in America,2016,337,Government
Others in America,2016,1432,House wife
Others in America,2016,9732,Students
Others in America,2016,1717,Retired
Others in America,2016,115,Others
Others in America,2016,185,Not stated
Bangladesh,2016,103616,Total
Bangladesh,2016,8652,Professional
Bangladesh,2016,2520,Administrative and managerial
Bangladesh,2016,37611,Commercial personal and clerical
Bangladesh,2016,12010,Labourers production and service workers
Bangladesh,2016,33,Agricultural workers
Bangladesh,2016,1601,Government
Bangladesh,2016,15184,House wife
Bangladesh,2016,25032,Students
Bangladesh,2016,859,Retired
Bangladesh,2016,95,Others
Bangladesh,2016,19,Not stated
India,2016,1076970,Total
India,2016,148395,Professional
India,2016,62993,Administrative and managerial
India,2016,484555,Commercial personal and clerical
India,2016,126319,Labourers production and service workers
India,2016,4623,Agricultural workers
India,2016,3855,Government
India,2016,79862,House wife
India,2016,149639,Students
India,2016,15091,Retired
India,2016,1319,Others
India,2016,319,Not stated
Nepal,2016,43170,Total
Nepal,2016,6171,Professional
Nepal,2016,1933,Administrative and managerial
Nepal,2016,17678,Commercial personal and clerical
Nepal,2016,5838,Labourers production and service workers
Nepal,2016,233,Agricultural workers
Nepal,2016,1158,Government
Nepal,2016,2502,House wife
Nepal,2016,7168,Students
Nepal,2016,423,Retired
Nepal,2016,49,Others
Nepal,2016,17,Not stated
Pakistan,2016,71720,Total
Pakistan,2016,14719,Professional
Pakistan,2016,8817,Administrative and managerial
Pakistan,2016,21652,Commercial personal and clerical
Pakistan,2016,8642,Labourers production and service workers
Pakistan,2016,149,Agricultural workers
Pakistan,2016,838,Government
Pakistan,2016,5519,House wife
Pakistan,2016,10868,Students
Pakistan,2016,440,Retired
Pakistan,2016,54,Others
Pakistan,2016,22,Not stated
SriLanka,2016,67876,Total
SriLanka,2016,15227,Professional
SriLanka,2016,9960,Administrative and managerial
SriLanka,2016,16079,Commercial personal and clerical
SriLanka,2016,5848,Labourers production and service workers
SriLanka,2016,242,Agricultural workers
SriLanka,2016,275,Government
SriLanka,2016,3048,House wife
SriLanka,2016,14894,Students
SriLanka,2016,2149,Retired
SriLanka,2016,132,Others
SriLanka,2016,22,Not stated
Others in Asia,2016,42282,Total
Others in Asia,2016,6292,Professional
Others in Asia,2016,2895,Administrative and managerial
Others in Asia,2016,8334,Commercial personal and clerical
Others in Asia,2016,7894,Labourers production and service workers
Others in Asia,2016,216,Agricultural workers
Others in Asia,2016,5498,Government
Others in Asia,2016,2127,House wife
Others in Asia,2016,8286,Students
Others in Asia,2016,617,Retired
Others in Asia,2016,93,Others
Others in Asia,2016,30,Not stated
Australia,2016,813017,Total
Australia,2016,257373,Professional
Australia,2016,205521,Administrative and managerial
Australia,2016,64108,Commercial personal and clerical
Australia,2016,103484,Labourers production and service workers
Australia,2016,2356,Agricultural workers
Australia,2016,3765,Government
Australia,2016,12178,House wife
Australia,2016,108220,Students
Australia,2016,54162,Retired
Australia,2016,1551,Others
Australia,2016,299,Not stated
NewZealand,2016,99402,Total
NewZealand,2016,34639,Professional
NewZealand,2016,21343,Administrative and managerial
NewZealand,2016,8188,Commercial personal and clerical
NewZealand,2016,13532,Labourers production and service workers
NewZealand,2016,850,Agricultural workers
NewZealand,2016,334,Government
NewZealand,2016,1561,House wife
NewZealand,2016,13191,Students
NewZealand,2016,5468,Retired
NewZealand,2016,250,Others
NewZealand,2016,46,Not stated
Others in Oceania,2016,6119,Total
Others in Oceania,2016,1796,Professional
Others in Oceania,2016,1035,Administrative and managerial
Others in Oceania,2016,681,Commercial personal and clerical
Others in Oceania,2016,1067,Labourers production and service workers
Others in Oceania,2016,24,Agricultural workers
Others in Oceania,2016,162,Government
Others in Oceania,2016,80,House wife
Others in Oceania,2016,639,Students
Others in Oceania,2016,560,Retired
Others in Oceania,2016,18,Others
Others in Oceania,2016,57,Not stated
Egypt,2016,24913,Total
Egypt,2016,10599,Professional
Egypt,2016,6487,Administrative and managerial
Egypt,2016,1370,Commercial personal and clerical
Egypt,2016,2109,Labourers production and service workers
Egypt,2016,4,Agricultural workers
Egypt,2016,83,Government
Egypt,2016,289,House wife
Egypt,2016,3518,Students
Egypt,2016,349,Retired
Egypt,2016,64,Others
Egypt,2016,41,Not stated
Israel,2016,161254,Total
Israel,2016,41267,Professional
Israel,2016,20478,Administrative and managerial
Israel,2016,16666,Commercial personal and clerical
Israel,2016,26961,Labourers production and service workers
Israel,2016,1150,Agricultural workers
Israel,2016,339,Government
Israel,2016,921,House wife
Israel,2016,44931,Students
Israel,2016,7808,Retired
Israel,2016,515,Others
Israel,2016,218,Not stated
Kuwait,2016,68168,Total
Kuwait,2016,12489,Professional
Kuwait,2016,5809,Administrative and managerial
Kuwait,2016,3612,Commercial personal and clerical
Kuwait,2016,16897,Labourers production and service workers
Kuwait,2016,19,Agricultural workers
Kuwait,2016,272,Government
Kuwait,2016,2409,House wife
Kuwait,2016,23373,Students
Kuwait,2016,2979,Retired
Kuwait,2016,135,Others
Kuwait,2016,174,Not stated
SaudiArabia,2016,33038,Total
SaudiArabia,2016,10729,Professional
SaudiArabia,2016,5205,Administrative and managerial
SaudiArabia,2016,3319,Commercial personal and clerical
SaudiArabia,2016,4100,Labourers production and service workers
SaudiArabia,2016,4,Agricultural workers
SaudiArabia,2016,237,Government
SaudiArabia,2016,1583,House wife
SaudiArabia,2016,7028,Students
SaudiArabia,2016,669,Retired
SaudiArabia,2016,68,Others
SaudiArabia,2016,96,Not stated
UnitedArabEmirates,2016,187665,Total
UnitedArabEmirates,2016,33931,Professional
UnitedArabEmirates,2016,24902,Administrative and managerial
UnitedArabEmirates,2016,20305,Commercial personal and clerical
UnitedArabEmirates,2016,38701,Labourers production and service workers
UnitedArabEmirates,2016,28,Agricultural workers
UnitedArabEmirates,2016,1203,Government
UnitedArabEmirates,2016,10505,House wife
UnitedArabEmirates,2016,53505,Students
UnitedArabEmirates,2016,3862,Retired
UnitedArabEmirates,2016,497,Others
UnitedArabEmirates,2016,226,Not stated
Others in Middle East,2016,346420,Total
Others in Middle East,2016,85477,Professional
Others in Middle East,2016,44931,Administrative and managerial
Others in Middle East,2016,44090,Commercial personal and clerical
Others in Middle East,2016,64317,Labourers production and service workers
Others in Middle East,2016,560,Agricultural workers
Others in Middle East,2016,3059,Government
Others in Middle East,2016,13705,House wife
Others in Middle East,2016,78084,Students
Others in Middle East,2016,10047,Retired
Others in Middle East,2016,1494,Others
Others in Middle East,2016,656,Not stated
SouthAfrica,2016,76541,Total
SouthAfrica,2016,33077,Professional
SouthAfrica,2016,23473,Administrative and managerial
SouthAfrica,2016,5168,Commercial personal and clerical
SouthAfrica,2016,5119,Labourers production and service workers
SouthAfrica,2016,109,Agricultural workers
SouthAfrica,2016,84,Government
SouthAfrica,2016,939,House wife
SouthAfrica,2016,6294,Students
SouthAfrica,2016,2135,Retired
SouthAfrica,2016,98,Others
SouthAfrica,2016,45,Not stated
Others in Africa,2016,96193,Total
Others in Africa,2016,25825,Professional
Others in Africa,2016,14354,Administrative and managerial
Others in Africa,2016,21923,Commercial personal and clerical
Others in Africa,2016,13140,Labourers production and service workers
Others in Africa,2016,237,Agricultural workers
Others in Africa,2016,1574,Government
Others in Africa,2016,2389,House wife
Others in Africa,2016,14079,Students
Others in Africa,2016,2086,Retired
Others in Africa,2016,240,Others
Others in Africa,2016,346,Not stated
Brunai,2017,18249,Total
Brunai,2017,4281,Professional
Brunai,2017,1737,Administrative and managerial
Brunai,2017,2238,Commercial personal and clerical
Brunai,2017,2958,Labourers production and service workers
Brunai,2017,14,Agricultural workers
Brunai,2017,655,Government
Brunai,2017,1061,House wife
Brunai,2017,4393,Students
Brunai,2017,909,Retired
Brunai,2017,3,Others
Brunai,2017,0,Not stated
Cambodia,2017,851879,Total
Cambodia,2017,89873,Professional
Cambodia,2017,60063,Administrative and managerial
Cambodia,2017,74037,Commercial personal and clerical
Cambodia,2017,240280,Labourers production and service workers
Cambodia,2017,123343,Agricultural workers
Cambodia,2017,8067,Government
Cambodia,2017,111308,House wife
Cambodia,2017,127519,Students
Cambodia,2017,17347,Retired
Cambodia,2017,31,Others
Cambodia,2017,11,Not stated
Indonesia,2017,594060,Total
Indonesia,2017,93562,Professional
Indonesia,2017,50866,Administrative and managerial
Indonesia,2017,52496,Commercial personal and clerical
Indonesia,2017,185428,Labourers production and service workers
Indonesia,2017,511,Agricultural workers
Indonesia,2017,7328,Government
Indonesia,2017,75754,House wife
Indonesia,2017,118846,Students
Indonesia,2017,9066,Retired
Indonesia,2017,202,Others
Indonesia,2017,1,Not stated
Laos,2017,1692866,Total
Laos,2017,292206,Professional
Laos,2017,72650,Administrative and managerial
Laos,2017,81864,Commercial personal and clerical
Laos,2017,542530,Labourers production and service workers
Laos,2017,89162,Agricultural workers
Laos,2017,1656,Government
Laos,2017,98902,House wife
Laos,2017,461227,Students
Laos,2017,52265,Retired
Laos,2017,403,Others
Laos,2017,1,Not stated
Malaysia,2017,3493112,Total
Malaysia,2017,714076,Professional
Malaysia,2017,709015,Administrative and managerial
Malaysia,2017,400192,Commercial personal and clerical
Malaysia,2017,435613,Labourers production and service workers
Malaysia,2017,4323,Agricultural workers
Malaysia,2017,3811,Government
Malaysia,2017,537810,House wife
Malaysia,2017,638526,Students
Malaysia,2017,49612,Retired
Malaysia,2017,134,Others
Malaysia,2017,0,Not stated
Myanmar,2017,387722,Total
Myanmar,2017,78246,Professional
Myanmar,2017,30530,Administrative and managerial
Myanmar,2017,89662,Commercial personal and clerical
Myanmar,2017,81955,Labourers production and service workers
Myanmar,2017,2255,Agricultural workers
Myanmar,2017,2253,Government
Myanmar,2017,8216,House wife
Myanmar,2017,84493,Students
Myanmar,2017,9989,Retired
Myanmar,2017,112,Others
Myanmar,2017,11,Not stated
Philippines,2017,361218,Total
Philippines,2017,100574,Professional
Philippines,2017,43081,Administrative and managerial
Philippines,2017,52428,Commercial personal and clerical
Philippines,2017,88097,Labourers production and service workers
Philippines,2017,1343,Agricultural workers
Philippines,2017,2840,Government
Philippines,2017,16152,House wife
Philippines,2017,42071,Students
Philippines,2017,14582,Retired
Philippines,2017,35,Others
Philippines,2017,15,Not stated
Singapore,2017,1259523,Total
Singapore,2017,369422,Professional
Singapore,2017,248680,Administrative and managerial
Singapore,2017,144012,Commercial personal and clerical
Singapore,2017,163265,Labourers production and service workers
Singapore,2017,342,Agricultural workers
Singapore,2017,16900,Government
Singapore,2017,66471,House wife
Singapore,2017,215082,Students
Singapore,2017,35104,Retired
Singapore,2017,195,Others
Singapore,2017,50,Not stated
Vietnam,2017,985695,Total
Vietnam,2017,167328,Professional
Vietnam,2017,57400,Administrative and managerial
Vietnam,2017,187657,Commercial personal and clerical
Vietnam,2017,309064,Labourers production and service workers
Vietnam,2017,18868,Agricultural workers
Vietnam,2017,1278,Government
Vietnam,2017,26485,House wife
Vietnam,2017,196855,Students
Vietnam,2017,20517,Retired
Vietnam,2017,243,Others
Vietnam,2017,0,Not stated
China,2017,9846818,Total
China,2017,1154798,Professional
China,2017,546242,Administrative and managerial
China,2017,942635,Commercial personal and clerical
China,2017,5565230,Labourers production and service workers
China,2017,13222,Agricultural workers
China,2017,12810,Government
China,2017,41288,House wife
China,2017,1249064,Students
China,2017,304866,Retired
China,2017,16663,Others
China,2017,0,Not stated
HongKong,2017,798460,Total
HongKong,2017,161883,Professional
HongKong,2017,98005,Administrative and managerial
HongKong,2017,179262,Commercial personal and clerical
HongKong,2017,138198,Labourers production and service workers
HongKong,2017,232,Agricultural workers
HongKong,2017,6326,Government
HongKong,2017,54532,House wife
HongKong,2017,124799,Students
HongKong,2017,35019,Retired
HongKong,2017,174,Others
HongKong,2017,30,Not stated
Japan,2017,1525707,Total
Japan,2017,200439,Professional
Japan,2017,104384,Administrative and managerial
Japan,2017,218318,Commercial personal and clerical
Japan,2017,684811,Labourers production and service workers
Japan,2017,4702,Agricultural workers
Japan,2017,4284,Government
Japan,2017,63072,House wife
Japan,2017,202024,Students
Japan,2017,43549,Retired
Japan,2017,123,Others
Japan,2017,1,Not stated
Korea,2017,1698608,Total
Korea,2017,220095,Professional
Korea,2017,75964,Administrative and managerial
Korea,2017,376721,Commercial personal and clerical
Korea,2017,494317,Labourers production and service workers
Korea,2017,4367,Agricultural workers
Korea,2017,3674,Government
Korea,2017,151477,House wife
Korea,2017,347282,Students
Korea,2017,24437,Retired
Korea,2017,209,Others
Korea,2017,65,Not stated
Taiwan,2017,560441,Total
Taiwan,2017,98231,Professional
Taiwan,2017,34592,Administrative and managerial
Taiwan,2017,168349,Commercial personal and clerical
Taiwan,2017,116483,Labourers production and service workers
Taiwan,2017,854,Agricultural workers
Taiwan,2017,1268,Government
Taiwan,2017,17935,House wife
Taiwan,2017,96369,Students
Taiwan,2017,26251,Retired
Taiwan,2017,83,Others
Taiwan,2017,26,Not stated
Others in East,2017,91918,Total
Others in East,2017,15884,Professional
Others in East,2017,8290,Administrative and managerial
Others in East,2017,15621,Commercial personal and clerical
Others in East,2017,18474,Labourers production and service workers
Others in East,2017,64,Agricultural workers
Others in East,2017,1262,Government
Others in East,2017,2692,House wife
Others in East,2017,26348,Students
Others in East,2017,3254,Retired
Others in East,2017,21,Others
Others in East,2017,8,Not stated
Austria,2017,104220,Total
Austria,2017,27213,Professional
Austria,2017,13210,Administrative and managerial
Austria,2017,8383,Commercial personal and clerical
Austria,2017,26875,Labourers production and service workers
Austria,2017,240,Agricultural workers
Austria,2017,209,Government
Austria,2017,816,House wife
Austria,2017,16851,Students
Austria,2017,10423,Retired
Austria,2017,0,Others
Austria,2017,0,Not stated
Belgium,2017,112635,Total
Belgium,2017,27503,Professional
Belgium,2017,11414,Administrative and managerial
Belgium,2017,7809,Commercial personal and clerical
Belgium,2017,33491,Labourers production and service workers
Belgium,2017,110,Agricultural workers
Belgium,2017,975,Government
Belgium,2017,956,House wife
Belgium,2017,19362,Students
Belgium,2017,10967,Retired
Belgium,2017,31,Others
Belgium,2017,17,Not stated
Denmark,2017,157923,Total
Denmark,2017,38291,Professional
Denmark,2017,23271,Administrative and managerial
Denmark,2017,10993,Commercial personal and clerical
Denmark,2017,30062,Labourers production and service workers
Denmark,2017,535,Agricultural workers
Denmark,2017,331,Government
Denmark,2017,610,House wife
Denmark,2017,38755,Students
Denmark,2017,15051,Retired
Denmark,2017,24,Others
Denmark,2017,0,Not stated
Finland,2017,138926,Total
Finland,2017,35107,Professional
Finland,2017,20376,Administrative and managerial
Finland,2017,11114,Commercial personal and clerical
Finland,2017,31414,Labourers production and service workers
Finland,2017,494,Agricultural workers
Finland,2017,269,Government
Finland,2017,614,House wife
Finland,2017,29590,Students
Finland,2017,9879,Retired
Finland,2017,59,Others
Finland,2017,10,Not stated
France,2017,693426,Total
France,2017,178749,Professional
France,2017,76277,Administrative and managerial
France,2017,56314,Commercial personal and clerical
France,2017,149092,Labourers production and service workers
France,2017,1881,Agricultural workers
France,2017,1926,Government
France,2017,3662,House wife
France,2017,141538,Students
France,2017,83638,Retired
France,2017,308,Others
France,2017,41,Not stated
Germany,2017,837318,Total
Germany,2017,225216,Professional
Germany,2017,114940,Administrative and managerial
Germany,2017,71313,Commercial personal and clerical
Germany,2017,197715,Labourers production and service workers
Germany,2017,1548,Agricultural workers
Germany,2017,2777,Government
Germany,2017,8903,House wife
Germany,2017,158016,Students
Germany,2017,56675,Retired
Germany,2017,161,Others
Germany,2017,54,Not stated
Ireland,2017,59500,Total
Ireland,2017,20202,Professional
Ireland,2017,7000,Administrative and managerial
Ireland,2017,4564,Commercial personal and clerical
Ireland,2017,13529,Labourers production and service workers
Ireland,2017,450,Agricultural workers
Ireland,2017,466,Government
Ireland,2017,577,House wife
Ireland,2017,9491,Students
Ireland,2017,3221,Retired
Ireland,2017,0,Others
Ireland,2017,0,Not stated
Italy,2017,244982,Total
Italy,2017,61830,Professional
Italy,2017,23303,Administrative and managerial
Italy,2017,19318,Commercial personal and clerical
Italy,2017,83811,Labourers production and service workers
Italy,2017,805,Agricultural workers
Italy,2017,372,Government
Italy,2017,3158,House wife
Italy,2017,34349,Students
Italy,2017,17986,Retired
Italy,2017,33,Others
Italy,2017,17,Not stated
Netherlands,2017,215433,Total
Netherlands,2017,57293,Professional
Netherlands,2017,31651,Administrative and managerial
Netherlands,2017,16504,Commercial personal and clerical
Netherlands,2017,44735,Labourers production and service workers
Netherlands,2017,369,Agricultural workers
Netherlands,2017,1845,Government
Netherlands,2017,2754,House wife
Netherlands,2017,44480,Students
Netherlands,2017,15716,Retired
Netherlands,2017,69,Others
Netherlands,2017,17,Not stated
Norway,2017,130200,Total
Norway,2017,29668,Professional
Norway,2017,15716,Administrative and managerial
Norway,2017,10106,Commercial personal and clerical
Norway,2017,31118,Labourers production and service workers
Norway,2017,615,Agricultural workers
Norway,2017,317,Government
Norway,2017,878,House wife
Norway,2017,28669,Students
Norway,2017,13073,Retired
Norway,2017,31,Others
Norway,2017,9,Not stated
Russian,2017,1340376,Total
Russian,2017,348490,Professional
Russian,2017,400962,Administrative and managerial
Russian,2017,65132,Commercial personal and clerical
Russian,2017,190111,Labourers production and service workers
Russian,2017,922,Agricultural workers
Russian,2017,773,Government
Russian,2017,13785,House wife
Russian,2017,286256,Students
Russian,2017,33563,Retired
Russian,2017,302,Others
Russian,2017,80,Not stated
Spain,2017,178954,Total
Spain,2017,67985,Professional
Spain,2017,20673,Administrative and managerial
Spain,2017,15798,Commercial personal and clerical
Spain,2017,41944,Labourers production and service workers
Spain,2017,446,Agricultural workers
Spain,2017,1212,Government
Spain,2017,968,House wife
Spain,2017,22899,Students
Spain,2017,6995,Retired
Spain,2017,28,Others
Spain,2017,6,Not stated
Sweden,2017,317797,Total
Sweden,2017,79477,Professional
Sweden,2017,44920,Administrative and managerial
Sweden,2017,23589,Commercial personal and clerical
Sweden,2017,73766,Labourers production and service workers
Sweden,2017,682,Agricultural workers
Sweden,2017,688,Government
Sweden,2017,1347,House wife
Sweden,2017,67796,Students
Sweden,2017,25429,Retired
Sweden,2017,70,Others
Sweden,2017,33,Not stated
Switzerland,2017,227152,Total
Switzerland,2017,60814,Professional
Switzerland,2017,34443,Administrative and managerial
Switzerland,2017,19724,Commercial personal and clerical
Switzerland,2017,53482,Labourers production and service workers
Switzerland,2017,642,Agricultural workers
Switzerland,2017,468,Government
Switzerland,2017,3140,House wife
Switzerland,2017,36232,Students
Switzerland,2017,18119,Retired
Switzerland,2017,76,Others
Switzerland,2017,12,Not stated
UnitedKingdom,2017,945061,Total
UnitedKingdom,2017,285868,Professional
UnitedKingdom,2017,123273,Administrative and managerial
UnitedKingdom,2017,69927,Commercial personal and clerical
UnitedKingdom,2017,210063,Labourers production and service workers
UnitedKingdom,2017,1820,Agricultural workers
UnitedKingdom,2017,7170,Government
UnitedKingdom,2017,12244,House wife
UnitedKingdom,2017,131662,Students
UnitedKingdom,2017,102720,Retired
UnitedKingdom,2017,199,Others
UnitedKingdom,2017,115,Not stated
EastEurope,2017,445521,Total
EastEurope,2017,150811,Professional
EastEurope,2017,102229,Administrative and managerial
EastEurope,2017,36790,Commercial personal and clerical
EastEurope,2017,71095,Labourers production and service workers
EastEurope,2017,1079,Agricultural workers
EastEurope,2017,1079,Government
EastEurope,2017,3765,House wife
EastEurope,2017,66754,Students
EastEurope,2017,11781,Retired
EastEurope,2017,122,Others
EastEurope,2017,16,Not stated
Others in Europe,2017,172742,Total
Others in Europe,2017,64705,Professional
Others in Europe,2017,24522,Administrative and managerial
Others in Europe,2017,17255,Commercial personal and clerical
Others in Europe,2017,32708,Labourers production and service workers
Others in Europe,2017,447,Agricultural workers
Others in Europe,2017,1072,Government
Others in Europe,2017,2421,House wife
Others in Europe,2017,20917,Students
Others in Europe,2017,8663,Retired
Others in Europe,2017,29,Others
Others in Europe,2017,3,Not stated
Argentina,2017,62738,Total
Argentina,2017,24420,Professional
Argentina,2017,4585,Administrative and managerial
