Country of Residence,Year,No of Arrivals per Occupation,Occupation,,,,,
    Germany,"2,016","77,857",Commercial personal and clerical,,,,,
    Germany,"2,016","142,117",Labourers production and service workers,,,,,
    Germany,"2,016","1,141",Agricultural workers,,,,,
    Germany,"2,016","3,157",Government,,,,,
    Germany,"2,016","8,685",House wife,,,,,
    Germany,"2,016","144,970",Students,,,,,
    Germany,"2,016","45,916",Retired,,,,,
    Germany,"2,016","2,343",Others,,,,,
    Germany,"2,016",489,Not stated,,,,,
    Ireland,"2,016","59,557",Total,,,,,
    Ireland,"2,016","22,084",Professional,,,,,
    Ireland,"2,016","9,987",Administrative and managerial,,,,,
    Ireland,"2,016","5,207",Commercial personal and clerical,,,,,
    Ireland,"2,016","9,907",Labourers production and service workers,,,,,
    Ireland,"2,016",324,Agricultural workers,,,,,
    Ireland,"2,016",413,Government,,,,,
    Ireland,"2,016",504,House wife,,,,,
    Ireland,"2,016","8,308",Students,,,,,
    Ireland,"2,016","2,710",Retired,,,,,
    Ireland,"2,016",103,Others,,,,,
    Ireland,"2,016",10,Not stated,,,,,
    Italy,"2,016","248,903",Total,,,,,
    Italy,"2,016","64,351",Professional,,,,,
    Italy,"2,016","31,236",Administrative and managerial,,,,,
    Italy,"2,016","26,107",Commercial personal and clerical,,,,,
    Italy,"2,016","72,221",Labourers production and service workers,,,,,
    Italy,"2,016",727,Agricultural workers,,,,,
    Italy,"2,016",623,Government,,,,,
    Italy,"2,016","3,319",House wife,,,,,
    Italy,"2,016","33,278",Students,,,,,
    Italy,"2,016","16,226",Retired,,,,,
    Italy,"2,016",603,Others,,,,,
    Italy,"2,016",212,Not stated,,,,,
    Netherlands,"2,016","228,443",Total,,,,,
    Netherlands,"2,016","63,612",Professional,,,,,
    Netherlands,"2,016","37,274",Administrative and managerial,,,,,
    Netherlands,"2,016","19,733",Commercial personal and clerical,,,,,
    Netherlands,"2,016","37,953",Labourers production and service workers,,,,,
    Netherlands,"2,016",436,Agricultural workers,,,,,
    Netherlands,"2,016","1,896",Government,,,,,
    Netherlands,"2,016","2,863",House wife,,,,,
    Netherlands,"2,016","48,657",Students,,,,,
    Netherlands,"2,016","14,952",Retired,,,,,
    Netherlands,"2,016",857,Others,,,,,
    Netherlands,"2,016",210,Not stated,,,,,
    Norway,"2,016","134,335",Total,,,,,
    Norway,"2,016","35,394",Professional,,,,,
    Norway,"2,016","18,510",Administrative and managerial,,,,,
    Norway,"2,016","12,859",Commercial personal and clerical,,,,,
    Norway,"2,016","24,676",Labourers production and service workers,,,,,
    Norway,"2,016",574,Agricultural workers,,,,,
    Norway,"2,016",411,Government,,,,,
    Norway,"2,016",927,House wife,,,,,
    Norway,"2,016","27,035",Students,,,,,
    Norway,"2,016","13,527",Retired,,,,,
    Norway,"2,016",312,Others,,,,,
    Norway,"2,016",110,Not stated,,,,,
    Russian,"2,016","1,085,890",Total,,,,,
    Russian,"2,016","368,281",Professional,,,,,
    Russian,"2,016","440,240",Administrative and managerial,,,,,
    Russian,"2,016","44,688",Commercial personal and clerical,,,,,
    Russian,"2,016","69,918",Labourers production and service workers,,,,,
    Russian,"2,016",236,Agricultural workers,,,,,
    Russian,"2,016",422,Government,,,,,
    Russian,"2,016","10,199",House wife,,,,,
    Russian,"2,016","134,662",Students,,,,,
    Russian,"2,016","15,869",Retired,,,,,
    Russian,"2,016","1,132",Others,,,,,
    Russian,"2,016",243,Not stated,,,,,
    Spain,"2,016","168,264",Total,,,,,
    Spain,"2,016","65,172",Professional,,,,,
    Spain,"2,016","22,639",Administrative and managerial,,,,,
    Spain,"2,016","18,141",Commercial personal and clerical,,,,,
    Spain,"2,016","33,468",Labourers production and service workers,,,,,
    Spain,"2,016",321,Agricultural workers,,,,,
    Spain,"2,016","1,333",Government,,,,,
    Spain,"2,016","1,250",House wife,,,,,
    Spain,"2,016","19,454",Students,,,,,
    Spain,"2,016","5,683",Retired,,,,,
    Spain,"2,016",617,Others,,,,,
    Spain,"2,016",186,Not stated,,,,,
    Sweden,"2,016","329,070",Total,,,,,
    Sweden,"2,016","97,758",Professional,,,,,
    Sweden,"2,016","70,988",Administrative and managerial,,,,,
    Sweden,"2,016","27,208",Commercial personal and clerical,,,,,
    Sweden,"2,016","54,291",Labourers production and service workers,,,,,
    Sweden,"2,016",614,Agricultural workers,,,,,
    Sweden,"2,016",576,Government,,,,,
    Sweden,"2,016","1,522",House wife,,,,,
    Sweden,"2,016","53,968",Students,,,,,
    Sweden,"2,016","21,446",Retired,,,,,
    Sweden,"2,016",546,Others,,,,,
    Sweden,"2,016",153,Not stated,,,,,
    Switzerland,"2,016","226,412",Total,,,,,
    Switzerland,"2,016","66,771",Professional,,,,,
    Switzerland,"2,016","41,319",Administrative and managerial,,,,,
    Switzerland,"2,016","24,278",Commercial personal and clerical,,,,,
    Switzerland,"2,016","40,090",Labourers production and service workers,,,,,
    Switzerland,"2,016",555,Agricultural workers,,,,,
    Switzerland,"2,016",402,Government,,,,,
    Switzerland,"2,016","3,653",House wife,,,,,
    Switzerland,"2,016","31,058",Students,,,,,
    Switzerland,"2,016","17,327",Retired,,,,,
    Switzerland,"2,016",741,Others,,,,,
    Switzerland,"2,016",218,Not stated,,,,,
    United Kingdom,"2,016","961,471",Total,,,,,
    United Kingdom,"2,016","310,592",Professional,,,,,
    United Kingdom,"2,016","157,053",Administrative and managerial,,,,,
    United Kingdom,"2,016","86,371",Commercial personal and clerical,,,,,
    United Kingdom,"2,016","165,010",Labourers production and service workers,,,,,
    United Kingdom,"2,016","1,875",Agricultural workers,,,,,
    United Kingdom,"2,016","7,035",Government,,,,,
    United Kingdom,"2,016","11,516",House wife,,,,,
    United Kingdom,"2,016","128,709",Students,,,,,
    United Kingdom,"2,016","90,905",Retired,,,,,
    United Kingdom,"2,016","2,015",Others,,,,,
    United Kingdom,"2,016",390,Not stated,,,,,
    East Europe,"2,016","379,153",Total,,,,,
    East Europe,"2,016","137,081",Professional,,,,,
    East Europe,"2,016","98,606",Administrative and managerial,,,,,
    East Europe,"2,016","35,929",Commercial personal and clerical,,,,,
    East Europe,"2,016","41,544",Labourers production and service workers,,,,,
    East Europe,"2,016",828,Agricultural workers,,,,,
    East Europe,"2,016",860,Government,,,,,
    East Europe,"2,016","4,058",House wife,,,,,
    East Europe,"2,016","48,929",Students,,,,,
    East Europe,"2,016","10,228",Retired,,,,,
    East Europe,"2,016",818,Others,,,,,
    East Europe,"2,016",272,Not stated,,,,,
    Others in Europe,"2,016","158,924",Total,,,,,
    Others in Europe,"2,016","61,567",Professional,,,,,
    Others in Europe,"2,016","29,451",Administrative and managerial,,,,,
    Others in Europe,"2,016","17,992",Commercial personal and clerical,,,,,
    Others in Europe,"2,016","22,393",Labourers production and service workers,,,,,
    Others in Europe,"2,016",415,Agricultural workers,,,,,
    Others in Europe,"2,016","1,063",Government,,,,,
    Others in Europe,"2,016","1,983",House wife,,,,,
    Others in Europe,"2,016","16,150",Students,,,,,
    Others in Europe,"2,016","7,320",Retired,,,,,
    Others in Europe,"2,016",437,Others,,,,,
    Others in Europe,"2,016",153,Not stated,,,,,
    Argentina,"2,016","46,390",Total,,,,,
    Argentina,"2,016","18,619",Professional,,,,,
    Argentina,"2,016","4,430",Administrative and managerial,,,,,
    Argentina,"2,016","4,050",Commercial personal and clerical,,,,,
    Argentina,"2,016","11,768",Labourers production and service workers,,,,,
    Argentina,"2,016",144,Agricultural workers,,,,,
    Argentina,"2,016",168,Government,,,,,
    Argentina,"2,016",256,House wife,,,,,
    Argentina,"2,016","5,735",Students,,,,,
    Argentina,"2,016","1,080",Retired,,,,,
    Argentina,"2,016",124,Others,,,,,
    Argentina,"2,016",16,Not stated,,,,,
    Brazil,"2,016","63,139",Total,,,,,
    Brazil,"2,016","30,989",Professional,,,,,
    Brazil,"2,016","9,071",Administrative and managerial,,,,,
    Brazil,"2,016","6,617",Commercial personal and clerical,,,,,
    Brazil,"2,016","6,226",Labourers production and service workers,,,,,
    Brazil,"2,016",152,Agricultural workers,,,,,
    Brazil,"2,016","1,202",Government,,,,,
    Brazil,"2,016",371,House wife,,,,,
    Brazil,"2,016","6,558",Students,,,,,
    Brazil,"2,016","1,797",Retired,,,,,
    Brazil,"2,016",122,Others,,,,,
    Brazil,"2,016",34,Not stated,,,,,
    Canada,"2,016","222,358",Total,,,,,
    Canada,"2,016","70,599",Professional,,,,,
    Canada,"2,016","31,923",Administrative and managerial,,,,,
    Canada,"2,016","22,617",Commercial personal and clerical,,,,,
    Canada,"2,016","33,775",Labourers production and service workers,,,,,
    Canada,"2,016",408,Agricultural workers,,,,,
    Canada,"2,016","1,120",Government,,,,,
    Canada,"2,016","2,514",House wife,,,,,
    Canada,"2,016","37,940",Students,,,,,
    Canada,"2,016","20,997",Retired,,,,,
    Canada,"2,016",366,Others,,,,,
    Canada,"2,016",99,Not stated,,,,,
USA,"2,016","938,862",Total,,,,,
USA,"2,016","319,641",Professional,,,,,
USA,"2,016","124,205",Administrative and managerial,,,,,
USA,"2,016","95,434",Commercial personal and clerical,,,,,
USA,"2,016","115,180",Labourers production and service workers,,,,,
USA,"2,016","1,544",Agricultural workers,,,,,
USA,"2,016","8,032",Government,,,,,
USA,"2,016","17,095",House wife,,,,,
USA,"2,016","170,816",Students,,,,,
USA,"2,016","84,603",Retired,,,,,
USA,"2,016","1,815",Others,,,,,
USA,"2,016",497,Not stated,,,,,
    Others in America,"2,016","70,724",Total,,,,,
    Others in America,"2,016","30,770",Professional,,,,,
    Others in America,"2,016","10,682",Administrative and managerial,,,,,
    Others in America,"2,016","6,621",Commercial personal and clerical,,,,,
    Others in America,"2,016","8,972",Labourers production and service workers,,,,,
    Others in America,"2,016",161,Agricultural workers,,,,,
    Others in America,"2,016",337,Government,,,,,
    Others in America,"2,016","1,432",House wife,,,,,
    Others in America,"2,016","9,732",Students,,,,,
    Others in America,"2,016","1,717",Retired,,,,,
    Others in America,"2,016",115,Others,,,,,
    Others in America,"2,016",185,Not stated,,,,,
    Bangladesh,"2,016","103,616",Total,,,,,
    Bangladesh,"2,016","8,652",Professional,,,,,
    Bangladesh,"2,016","2,520",Administrative and managerial,,,,,
    Bangladesh,"2,016","37,611",Commercial personal and clerical,,,,,
    Bangladesh,"2,016","12,010",Labourers production and service workers,,,,,
    Bangladesh,"2,016",33,Agricultural workers,,,,,
    Bangladesh,"2,016","1,601",Government,,,,,
    Bangladesh,"2,016","15,184",House wife,,,,,
    Bangladesh,"2,016","25,032",Students,,,,,
    Bangladesh,"2,016",859,Retired,,,,,
    Bangladesh,"2,016",95,Others,,,,,
    Bangladesh,"2,016",19,Not stated,,,,,
    India,"2,016","1,076,970",Total,,,,,
    India,"2,016","148,395",Professional,,,,,
    India,"2,016","62,993",Administrative and managerial,,,,,
    India,"2,016","484,555",Commercial personal and clerical,,,,,
    India,"2,016","126,319",Labourers production and service workers,,,,,
    India,"2,016","4,623",Agricultural workers,,,,,
    India,"2,016","3,855",Government,,,,,
    India,"2,016","79,862",House wife,,,,,
    India,"2,016","149,639",Students,,,,,
    India,"2,016","15,091",Retired,,,,,
    India,"2,016","1,319",Others,,,,,
    India,"2,016",319,Not stated,,,,,
    Nepal,"2,016","43,170",Total,,,,,
    Nepal,"2,016","6,171",Professional,,,,,
    Nepal,"2,016","1,933",Administrative and managerial,,,,,
    Nepal,"2,016","17,678",Commercial personal and clerical,,,,,
    Nepal,"2,016","5,838",Labourers production and service workers,,,,,
    Nepal,"2,016",233,Agricultural workers,,,,,
    Nepal,"2,016","1,158",Government,,,,,
    Nepal,"2,016","2,502",House wife,,,,,
    Nepal,"2,016","7,168",Students,,,,,
    Nepal,"2,016",423,Retired,,,,,
    Nepal,"2,016",49,Others,,,,,
    Nepal,"2,016",17,Not stated,,,,,
    Pakistan,"2,016","71,720",Total,,,,,
    Pakistan,"2,016","14,719",Professional,,,,,
    Pakistan,"2,016","8,817",Administrative and managerial,,,,,
    Pakistan,"2,016","21,652",Commercial personal and clerical,,,,,
    Pakistan,"2,016","8,642",Labourers production and service workers,,,,,
    Pakistan,"2,016",149,Agricultural workers,,,,,
    Pakistan,"2,016",838,Government,,,,,
    Pakistan,"2,016","5,519",House wife,,,,,
    Pakistan,"2,016","10,868",Students,,,,,
    Pakistan,"2,016",440,Retired,,,,,
    Pakistan,"2,016",54,Others,,,,,
    Pakistan,"2,016",22,Not stated,,,,,
    Sri Lanka,"2,016","67,876",Total,,,,,
    Sri Lanka,"2,016","15,227",Professional,,,,,
    Sri Lanka,"2,016","9,960",Administrative and managerial,,,,,
    Sri Lanka,"2,016","16,079",Commercial personal and clerical,,,,,
    Sri Lanka,"2,016","5,848",Labourers production and service workers,,,,,
    Sri Lanka,"2,016",242,Agricultural workers,,,,,
    Sri Lanka,"2,016",275,Government,,,,,
    Sri Lanka,"2,016","3,048",House wife,,,,,
    Sri Lanka,"2,016","14,894",Students,,,,,
    Sri Lanka,"2,016","2,149",Retired,,,,,
    Sri Lanka,"2,016",132,Others,,,,,
    Sri Lanka,"2,016",22,Not stated,,,,,
    Others in Asia,"2,016","42,282",Total,,,,,
    Others in Asia,"2,016","6,292",Professional,,,,,
    Others in Asia,"2,016","2,895",Administrative and managerial,,,,,
    Others in Asia,"2,016","8,334",Commercial personal and clerical,,,,,
    Others in Asia,"2,016","7,894",Labourers production and service workers,,,,,
    Others in Asia,"2,016",216,Agricultural workers,,,,,
    Others in Asia,"2,016","5,498",Government,,,,,
    Others in Asia,"2,016","2,127",House wife,,,,,
    Others in Asia,"2,016","8,286",Students,,,,,
    Others in Asia,"2,016",617,Retired,,,,,
    Others in Asia,"2,016",93,Others,,,,,
    Others in Asia,"2,016",30,Not stated,,,,,
    Australia,"2,016","813,017",Total,,,,,
    Australia,"2,016","257,373",Professional,,,,,
    Australia,"2,016","205,521",Administrative and managerial,,,,,
    Australia,"2,016","64,108",Commercial personal and clerical,,,,,
    Australia,"2,016","103,484",Labourers production and service workers,,,,,
    Australia,"2,016","2,356",Agricultural workers,,,,,
    Australia,"2,016","3,765",Government,,,,,
    Australia,"2,016","12,178",House wife,,,,,
    Australia,"2,016","108,220",Students,,,,,
    Australia,"2,016","54,162",Retired,,,,,
    Australia,"2,016","1,551",Others,,,,,
    Australia,"2,016",299,Not stated,,,,,
    New Zealand,"2,016","99,402",Total,,,,,
    New Zealand,"2,016","34,639",Professional,,,,,
    New Zealand,"2,016","21,343",Administrative and managerial,,,,,
    New Zealand,"2,016","8,188",Commercial personal and clerical,,,,,
    New Zealand,"2,016","13,532",Labourers production and service workers,,,,,
    New Zealand,"2,016",850,Agricultural workers,,,,,
    New Zealand,"2,016",334,Government,,,,,
    New Zealand,"2,016","1,561",House wife,,,,,
    New Zealand,"2,016","13,191",Students,,,,,
    New Zealand,"2,016","5,468",Retired,,,,,
    New Zealand,"2,016",250,Others,,,,,
    New Zealand,"2,016",46,Not stated,,,,,
Others in Oceania,"2,016","6,119",Total,,,,,
Others in Oceania,"2,016","1,796",Professional,,,,,
Others in Oceania,"2,016","1,035",Administrative and managerial,,,,,
Others in Oceania,"2,016",681,Commercial personal and clerical,,,,,
Others in Oceania,"2,016","1,067",Labourers production and service workers,,,,,
Others in Oceania,"2,016",24,Agricultural workers,,,,,
Others in Oceania,"2,016",162,Government,,,,,
Others in Oceania,"2,016",80,House wife,,,,,
Others in Oceania,"2,016",639,Students,,,,,
Others in Oceania,"2,016",560,Retired,,,,,
Others in Oceania,"2,016",18,Others,,,,,
Others in Oceania,"2,016",57,Not stated,,,,,
    Egypt,"2,016","24,913",Total,,,,,
    Egypt,"2,016","10,599",Professional,,,,,
    Egypt,"2,016","6,487",Administrative and managerial,,,,,
    Egypt,"2,016","1,370",Commercial personal and clerical,,,,,
    Egypt,"2,016","2,109",Labourers production and service workers,,,,,
    Egypt,"2,016",4,Agricultural workers,,,,,
    Egypt,"2,016",83,Government,,,,,
    Egypt,"2,016",289,House wife,,,,,
    Egypt,"2,016","3,518",Students,,,,,
    Egypt,"2,016",349,Retired,,,,,
    Egypt,"2,016",64,Others,,,,,
    Egypt,"2,016",41,Not stated,,,,,
    Israel,"2,016","161,254",Total,,,,,
    Israel,"2,016","41,267",Professional,,,,,
    Israel,"2,016","20,478",Administrative and managerial,,,,,
    Israel,"2,016","16,666",Commercial personal and clerical,,,,,
    Israel,"2,016","26,961",Labourers production and service workers,,,,,
    Israel,"2,016","1,150",Agricultural workers,,,,,
    Israel,"2,016",339,Government,,,,,
    Israel,"2,016",921,House wife,,,,,
    Israel,"2,016","44,931",Students,,,,,
    Israel,"2,016","7,808",Retired,,,,,
    Israel,"2,016",515,Others,,,,,
    Israel,"2,016",218,Not stated,,,,,
    Kuwait,"2,016","68,168",Total,,,,,
    Kuwait,"2,016","12,489",Professional,,,,,
    Kuwait,"2,016","5,809",Administrative and managerial,,,,,
    Kuwait,"2,016","3,612",Commercial personal and clerical,,,,,
    Kuwait,"2,016","16,897",Labourers production and service workers,,,,,
    Kuwait,"2,016",19,Agricultural workers,,,,,
    Kuwait,"2,016",272,Government,,,,,
    Kuwait,"2,016","2,409",House wife,,,,,
    Kuwait,"2,016","23,373",Students,,,,,
    Kuwait,"2,016","2,979",Retired,,,,,
    Kuwait,"2,016",135,Others,,,,,
    Kuwait,"2,016",174,Not stated,,,,,
    Saudi Arabia,"2,016","33,038",Total,,,,,
    Saudi Arabia,"2,016","10,729",Professional,,,,,
    Saudi Arabia,"2,016","5,205",Administrative and managerial,,,,,
    Saudi Arabia,"2,016","3,319",Commercial personal and clerical,,,,,
    Saudi Arabia,"2,016","4,100",Labourers production and service workers,,,,,
    Saudi Arabia,"2,016",4,Agricultural workers,,,,,
    Saudi Arabia,"2,016",237,Government,,,,,
    Saudi Arabia,"2,016","1,583",House wife,,,,,
    Saudi Arabia,"2,016","7,028",Students,,,,,
    Saudi Arabia,"2,016",669,Retired,,,,,
    Saudi Arabia,"2,016",68,Others,,,,,
    Saudi Arabia,"2,016",96,Not stated,,,,,
    United Arab Emirates,"2,016","187,665",Total,,,,,
    United Arab Emirates,"2,016","33,931",Professional,,,,,
    United Arab Emirates,"2,016","24,902",Administrative and managerial,,,,,
    United Arab Emirates,"2,016","20,305",Commercial personal and clerical,,,,,
    United Arab Emirates,"2,016","38,701",Labourers production and service workers,,,,,
    United Arab Emirates,"2,016",28,Agricultural workers,,,,,
    United Arab Emirates,"2,016","1,203",Government,,,,,
    United Arab Emirates,"2,016","10,505",House wife,,,,,
    United Arab Emirates,"2,016","53,505",Students,,,,,
    United Arab Emirates,"2,016","3,862",Retired,,,,,
    United Arab Emirates,"2,016",497,Others,,,,,
    United Arab Emirates,"2,016",226,Not stated,,,,,
    Others in Middle East,"2,016","346,420",Total,,,,,
    Others in Middle East,"2,016","85,477",Professional,,,,,
    Others in Middle East,"2,016","44,931",Administrative and managerial,,,,,
    Others in Middle East,"2,016","44,090",Commercial personal and clerical,,,,,
    Others in Middle East,"2,016","64,317",Labourers production and service workers,,,,,
    Others in Middle East,"2,016",560,Agricultural workers,,,,,
    Others in Middle East,"2,016","3,059",Government,,,,,
    Others in Middle East,"2,016","13,705",House wife,,,,,
    Others in Middle East,"2,016","78,084",Students,,,,,
    Others in Middle East,"2,016","10,047",Retired,,,,,
    Others in Middle East,"2,016","1,494",Others,,,,,
    Others in Middle East,"2,016",656,Not stated,,,,,
 South Africa,"2,016","76,541",Total,,,,,
 South Africa,"2,016","33,077",Professional,,,,,
 South Africa,"2,016","23,473",Administrative and managerial,,,,,
 South Africa,"2,016","5,168",Commercial personal and clerical,,,,,
 South Africa,"2,016","5,119",Labourers production and service workers,,,,,
 South Africa,"2,016",109,Agricultural workers,,,,,
 South Africa,"2,016",84,Government,,,,,
 South Africa,"2,016",939,House wife,,,,,
 South Africa,"2,016","6,294",Students,,,,,
 South Africa,"2,016","2,135",Retired,,,,,
 South Africa,"2,016",98,Others,,,,,
 South Africa,"2,016",45,Not stated,,,,,
    Others in Africa,"2,016","96,193",Total,,,,,
    Others in Africa,"2,016","25,825",Professional,,,,,
    Others in Africa,"2,016","14,354",Administrative and managerial,,,,,
    Others in Africa,"2,016","21,923",Commercial personal and clerical,,,,,
    Others in Africa,"2,016","13,140",Labourers production and service workers,,,,,
    Others in Africa,"2,016",237,Agricultural workers,,,,,
    Others in Africa,"2,016","1,574",Government,,,,,
    Others in Africa,"2,016","2,389",House wife,,,,,
    Others in Africa,"2,016","14,079",Students,,,,,
    Others in Africa,"2,016","2,086",Retired,,,,,
    Others in Africa,"2,016",240,Others,,,,,
    Others in Africa,"2,016",346,Not stated,,,,,
        Brunai,"2,017","18,249",Total,,,,,
        Brunai,"2,017","4,281",Professional,,,,,
        Brunai,"2,017","1,737",Administrative and managerial,,,,,
        Brunai,"2,017","2,238",Commercial personal and clerical,,,,,
        Brunai,"2,017","2,958",Labourers production and service workers,,,,,
        Brunai,"2,017",14,Agricultural workers,,,,,
        Brunai,"2,017",655,Government,,,,,
        Brunai,"2,017","1,061",House wife,,,,,
        Brunai,"2,017","4,393",Students,,,,,
        Brunai,"2,017",909,Retired,,,,,
        Brunai,"2,017",3,Others,,,,,
        Brunai,"2,017", - ,Not stated,,,,,
        Cambodia,"2,017","851,879",Total,,,,,
        Cambodia,"2,017","89,873",Professional,,,,,
        Cambodia,"2,017","60,063",Administrative and managerial,,,,,
        Cambodia,"2,017","74,037",Commercial personal and clerical,,,,,
        Cambodia,"2,017","240,280",Labourers production and service workers,,,,,
        Cambodia,"2,017","123,343",Agricultural workers,,,,,
        Cambodia,"2,017","8,067",Government,,,,,
        Cambodia,"2,017","111,308",House wife,,,,,
        Cambodia,"2,017","127,519",Students,,,,,
        Cambodia,"2,017","17,347",Retired,,,,,
        Cambodia,"2,017",31,Others,,,,,
        Cambodia,"2,017",11,Not stated,,,,,
        Indonesia,"2,017","594,060",Total,,,,,
        Indonesia,"2,017","93,562",Professional,,,,,
        Indonesia,"2,017","50,866",Administrative and managerial,,,,,
        Indonesia,"2,017","52,496",Commercial personal and clerical,,,,,
        Indonesia,"2,017","185,428",Labourers production and service workers,,,,,
        Indonesia,"2,017",511,Agricultural workers,,,,,
        Indonesia,"2,017","7,328",Government,,,,,
        Indonesia,"2,017","75,754",House wife,,,,,
        Indonesia,"2,017","118,846",Students,,,,,
        Indonesia,"2,017","9,066",Retired,,,,,
        Indonesia,"2,017",202,Others,,,,,
        Indonesia,"2,017",1,Not stated,,,,,
        Laos,"2,017","1,692,866",Total,,,,,
        Laos,"2,017","292,206",Professional,,,,,
        Laos,"2,017","72,650",Administrative and managerial,,,,,
        Laos,"2,017","81,864",Commercial personal and clerical,,,,,
        Laos,"2,017","542,530",Labourers production and service workers,,,,,
        Laos,"2,017","89,162",Agricultural workers,,,,,
        Laos,"2,017","1,656",Government,,,,,
        Laos,"2,017","98,902",House wife,,,,,
        Laos,"2,017","461,227",Students,,,,,
        Laos,"2,017","52,265",Retired,,,,,
        Laos,"2,017",403,Others,,,,,
        Laos,"2,017",1,Not stated,,,,,
        Malaysia,"2,017","3,493,112",Total,,,,,
        Malaysia,"2,017","714,076",Professional,,,,,
        Malaysia,"2,017","709,015",Administrative and managerial,,,,,
        Malaysia,"2,017","400,192",Commercial personal and clerical,,,,,
        Malaysia,"2,017","435,613",Labourers production and service workers,,,,,
        Malaysia,"2,017","4,323",Agricultural workers,,,,,
        Malaysia,"2,017","3,811",Government,,,,,
        Malaysia,"2,017","537,810",House wife,,,,,
        Malaysia,"2,017","638,526",Students,,,,,
        Malaysia,"2,017","49,612",Retired,,,,,
        Malaysia,"2,017",134,Others,,,,,
        Malaysia,"2,017", - ,Not stated,,,,,
        Myanmar,"2,017","387,722",Total,,,,,
        Myanmar,"2,017","78,246",Professional,,,,,
        Myanmar,"2,017","30,530",Administrative and managerial,,,,,
        Myanmar,"2,017","89,662",Commercial personal and clerical,,,,,
        Myanmar,"2,017","81,955",Labourers production and service workers,,,,,
        Myanmar,"2,017","2,255",Agricultural workers,,,,,
        Myanmar,"2,017","2,253",Government,,,,,
        Myanmar,"2,017","8,216",House wife,,,,,
        Myanmar,"2,017","84,493",Students,,,,,
        Myanmar,"2,017","9,989",Retired,,,,,
        Myanmar,"2,017",112,Others,,,,,
        Myanmar,"2,017",11,Not stated,,,,,
        Philippines,"2,017","361,218",Total,,,,,
        Philippines,"2,017","100,574",Professional,,,,,
        Philippines,"2,017","43,081",Administrative and managerial,,,,,
        Philippines,"2,017","52,428",Commercial personal and clerical,,,,,
        Philippines,"2,017","88,097",Labourers production and service workers,,,,,
        Philippines,"2,017","1,343",Agricultural workers,,,,,
        Philippines,"2,017","2,840",Government,,,,,
        Philippines,"2,017","16,152",House wife,,,,,
        Philippines,"2,017","42,071",Students,,,,,
        Philippines,"2,017","14,582",Retired,,,,,
        Philippines,"2,017",35,Others,,,,,
        Philippines,"2,017",15,Not stated,,,,,
        Singapore,"2,017","1,259,523",Total,,,,,
        Singapore,"2,017","369,422",Professional,,,,,
        Singapore,"2,017","248,680",Administrative and managerial,,,,,
        Singapore,"2,017","144,012",Commercial personal and clerical,,,,,
        Singapore,"2,017","163,265",Labourers production and service workers,,,,,
        Singapore,"2,017",342,Agricultural workers,,,,,
        Singapore,"2,017","16,900",Government,,,,,
        Singapore,"2,017","66,471",House wife,,,,,
        Singapore,"2,017","215,082",Students,,,,,
        Singapore,"2,017","35,104",Retired,,,,,
        Singapore,"2,017",195,Others,,,,,
        Singapore,"2,017",50,Not stated,,,,,
        Vietnam,"2,017","985,695",Total,,,,,
        Vietnam,"2,017","167,328",Professional,,,,,
        Vietnam,"2,017","57,400",Administrative and managerial,,,,,
        Vietnam,"2,017","187,657",Commercial personal and clerical,,,,,
        Vietnam,"2,017","309,064",Labourers production and service workers,,,,,
        Vietnam,"2,017","18,868",Agricultural workers,,,,,
        Vietnam,"2,017","1,278",Government,,,,,
        Vietnam,"2,017","26,485",House wife,,,,,
        Vietnam,"2,017","196,855",Students,,,,,
        Vietnam,"2,017","20,517",Retired,,,,,
        Vietnam,"2,017",243,Others,,,,,
        Vietnam,"2,017", - ,Not stated,,,,,
    China,"2,017","9,846,818",Total,,,,,
    China,"2,017","1,154,798",Professional,,,,,
    China,"2,017","546,242",Administrative and managerial,,,,,
    China,"2,017","942,635",Commercial personal and clerical,,,,,
    China,"2,017","5,565,230",Labourers production and service workers,,,,,
    China,"2,017","13,222",Agricultural workers,,,,,
    China,"2,017","12,810",Government,,,,,
    China,"2,017","41,288",House wife,,,,,
    China,"2,017","1,249,064",Students,,,,,
    China,"2,017","304,866",Retired,,,,,
    China,"2,017","16,663",Others,,,,,
    China,"2,017", - ,Not stated,,,,,
    Hong Kong,"2,017","798,460",Total,,,,,
    Hong Kong,"2,017","161,883",Professional,,,,,
    Hong Kong,"2,017","98,005",Administrative and managerial,,,,,
    Hong Kong,"2,017","179,262",Commercial personal and clerical,,,,,
    Hong Kong,"2,017","138,198",Labourers production and service workers,,,,,
    Hong Kong,"2,017",232,Agricultural workers,,,,,
    Hong Kong,"2,017","6,326",Government,,,,,
    Hong Kong,"2,017","54,532",House wife,,,,,
    Hong Kong,"2,017","124,799",Students,,,,,
    Hong Kong,"2,017","35,019",Retired,,,,,
    Hong Kong,"2,017",174,Others,,,,,
    Hong Kong,"2,017",30,Not stated,,,,,
    Japan,"2,017","1,525,707",Total,,,,,
    Japan,"2,017","200,439",Professional,,,,,
    Japan,"2,017","104,384",Administrative and managerial,,,,,
    Japan,"2,017","218,318",Commercial personal and clerical,,,,,
    Japan,"2,017","684,811",Labourers production and service workers,,,,,
    Japan,"2,017","4,702",Agricultural workers,,,,,
    Japan,"2,017","4,284",Government,,,,,
    Japan,"2,017","63,072",House wife,,,,,
    Japan,"2,017","202,024",Students,,,,,
    Japan,"2,017","43,549",Retired,,,,,
