Country,Inflation rate(%),Arrivals,Year,GDP,Length of Stay(Days),Per Capita Spending($US/Day),Tourism Receipts(Mil. $US),Region
Sri Lanka,4,67876,2016,86.302,7.14,167.98,81.41,South Asia
Sri Lanka,2.2,53676,2015,79.524,6.47,163.23,56.69,South Asia
Sweden,8.1,94055,2022,660.918,21.06,72.65,143.91,Nothern Europe
Sweden,2.7,18574,2021,622.365,36.49,66.87,63.76,Nothern Europe
Sweden,0.7,108921,2020,585.743,20.06,97.18,232.4,Nothern Europe
Sweden,1.7,279451,2019,562.124,19.15,143.06,765.59,Nothern Europe
Sweden,2,304206,2018,541.467,19.13,143.61,835.73,Nothern Europe
Sweden,1.9,317797,2017,519.636,19.14,133.9,814.44,Nothern Europe
Sweden,1.1,329070,2016,499.179,18.9,121.24,754.06,Nothern Europe
Sweden,0.7,282910,2015,483.724,20.14,122.1,695.73,Nothern Europe
Switzerland,2.8,79586,2022,862.819,21.25,89.51,151.38,Western Europe
Switzerland,0.6,13539,2021,810.83,41.1,65.12,57.5,Western Europe
Switzerland,-0.7,54006,2020,770.927,19.57,120.64,146.5,Western Europe
Switzerland,0.4,206087,2019,746.28,17.23,144.01,511.37,Western Europe
Switzerland,0.9,225985,2018,727.226,16.86,139.71,532.3,Western Europe
Switzerland,0.5,227152,2017,707.527,17.01,134.99,521.59,Western Europe
Switzerland,-0.4,226412,2016,687.591,16.74,126.89,480.94,Western Europe
Switzerland,-1.1,198839,2015,676.979,17.26,129.28,443.7,Western Europe
Taiwan,2.9,90149,2022,850.528,15.43,72.71,101.14,North-East Asia
Taiwan,2,3819,2021,785.589,52.52,67.42,31.86,North-East Asia
Taiwan,-0.2,114275,2020,650.902,10.52,128.41,172.89,North-East Asia
Taiwan,0.6,781674,2019,618.101,8.24,167.68,1080.05,North-East Asia
Taiwan,1.4,674172,2018,591.253,8.21,173.09,958.02,North-East Asia
Taiwan,0.6,560441,2017,565.374,7.76,168.94,734.72,North-East Asia
Taiwan,1.4,513528,2016,540.073,7.55,155.5,602.9,North-East Asia
Taiwan,-0.3,457137,2015,518.816,7.84,147.7,529.36,North-East Asia
United Arab Emirates,4.8,66003,2022,427.93,12.99,113.66,97.45,Middle East
United Arab Emirates,-0.1,4188,2021,410.158,21.9,95.9,11.57,Middle East
United Arab Emirates,-2.1,9550,2020,468.902,17.1,165.27,33.67,Middle East
United Arab Emirates,-1.9,145530,2019,438.118,11.14,220.05,356.75,Middle East
United Arab Emirates,3.1,151137,2018,410.422,10.61,220.04,352.85,Middle East
United Arab Emirates,2,199475,2017,382.619,10.1,220.69,444.61,Middle East
United Arab Emirates,1.6,187665,2016,356.219,9.91,204.12,379.62,Middle East
United Arab Emirates,4.1,138170,2015,339.085,10.17,199.22,279.94,Middle East
United Kingdom,9.1,432245,2022,3442.21,20.14,86.46,752.67,Nothern Europe
United Kingdom,2.6,42853,2021,3108.42,38.68,72.96,268.99,Nothern Europe
United Kingdom,0.9,215861,2020,3851.98,18.79,97.4,494.52,Nothern Europe
United Kingdom,1.8,946774,2019,3616.82,17.83,137.97,2329.11,Nothern Europe
United Kingdom,2.5,954404,2018,3425.54,17.71,132.68,2242.61,Nothern Europe
United Kingdom,2.7,945061,2017,3232.28,18.25,126.4,2180.1,Nothern Europe
United Kingdom,0.7,961471,2016,3054.84,17.91,119.5,2057.75,Nothern Europe
United Kingdom,0,822941,2015,2864.9,17.66,123.89,1800.44,Nothern Europe
USA,8,438011,2022,24796.08,17.41,80.47,613.68,America
USA,4.7,43444,2021,22939.58,52.43,83.34,267.97,America
USA,1.3,208608,2020,22294.11,14.71,110.99,382.54,America
USA,1.8,1136210,2019,21404.19,14.19,153.45,2474.05,America
USA,2.4,1096177,2018,20493.25,14.33,155.79,2447.25,America
USA,2.1,1006939,2017,19555.87,14.18,153.33,2189.37,America
USA,1.3,938862,2016,18697.92,13.99,144.82,1902.21,America
USA,0.1,746924,2015,17968.2,13.68,145.55,1487.26,America
Vietnam,3.2,458183,2022,415.493,7.85,128.39,461.8,South-East Asia
Vietnam,1.8,2123,2021,368.002,42.66,50.5,17.87,South-East Asia
Vietnam,3.2,131308,2020,287.257,11.53,119.24,206.67,South-East Asia
Vietnam,2.8,1080609,2019,265.987,7.59,155.95,1279.07,South-East Asia
Vietnam,3.5,1053723,2018,247.415,6.54,157.47,1085.16,South-East Asia
Vietnam,3.5,985695,2017,229.845,5.78,153.36,873.74,South-East Asia
Vietnam,2.7,863807,2016,214.75,5.98,147.07,759.72,South-East Asia
Vietnam,0.6,534212,2015,198.805,6.51,153.35,533.29,South-East Asia
